課程名稱,課程代碼,教科書1,教科書2,教科書3,教科書4,教科書5,教科書6,教科書7,教科書8,教科書9,教科書10,教科書11,教科書12,教科書13,教科書14,教科書15,教科書16,教科書17,教科書18,教科書19,教科書20,教科書21,教科書22,教科書23,教科書24,教科書25,教科書26,教科書27,教科書28,教科書29,教科書30,教科書31,教科書32,教科書33,教科書34,教科書35,教科書36,教科書37,教科書38,教科書39,教科書40,教科書41
教育議題專題,ED010A
學校行政,ED040A
學校行政,ED040A
教育哲學,ED070A
班級經營,ED074A
輔導原理與實務,ED084A,輔導原理與實務
性別教育,ED115A,性別教育與生活
補救教學,ED116A,帶好每一個學生:有效的補救教學
教學媒體與應用,ED131A,教學科技與媒體
國文教學實習,ED132A
英文教學實習,ED133A
數學教學實習,ED134A
輔導教學實習,ED135A,國中綜合活動課本
生物教學實習,ED136A
多媒體設計教學實習,ED138A
學校行政實習,ED139A
學校行政實習,ED139A
班級經營實踐,ED140A
補救教學實踐,ED141A,帶好每一個學生:有效的補救教學
適性教學策略與實踐,ED142A,帶好每一個學生 : 有效的補救教學
探究式學習暨資訊素養教育,ED147A,我做專題研究，學會獨立思考!：高中生的專題研究方法。,思辨是我們的義務：那些瑞典老師教我的事,我在芬蘭中小學做研究的日子
宗教哲學,GQ101A
宗教哲學,GQ101B,神聖的根源
宗教哲學,GQ101C
宗教哲學,GQ101D,人的宗教
宗教哲學,GQ101E
宗教哲學,GQ101F,人的宗教
宗教哲學,GQ101G,蘇菲的世界,標竿人生 : 建造目的導向的人生,尋神事,尋神記 : 與神相遇世情中
宗教哲學,GQ101H
宗教哲學,GQ101I
宗教哲學,GQ101J,《真理的論述》
宗教哲學,GQ101K
宗教哲學,GQ101L,教材自編
宗教哲學,GQ101M,宗教哲學,科學與宗教引論
宗教哲學,GQ101N,教材自編
宗教哲學,GQ101O,《真理的論述》
宗教哲學,GQ101P,上帝啊!為什麼?--一群大學生的疑問
宗教哲學,GQ101Q,Readings in the philosophy of religion
宗教哲學,GQ101R
宗教哲學,GQ101S
宗教哲學,GQ101T,Readings in the philosophy of religion
宗教哲學,GQ101U
宗教哲學,GQ101V,教材自編
宗教哲學,GQ101X
宗教哲學,GQ101Y
宗教哲學,GQ101Z
人生哲學,GQ201A,Class Packet 講譯,The Power of Positive Thinking 正面思考之力量
人生哲學,GQ201B
人生哲學,GQ201C
人生哲學,GQ201D,做最好的自己 = Be your personal best,男人是蚌,女人是鐵橇,了解你的伴侶,贏在今天 : 掌握成功的12操練,錢買不到的東西 : 金錢與正義的攻防
人生哲學,GQ201E
人生哲學,GQ201F
人生哲學,GQ201G,自編投影片
人生哲學,GQ201H,溝通大師教你拿回情緒主導權,態度,決定人生的高度,人生本來就塗塗改改 : 那些我們從犯錯中學到的成長筆記,倒帶人生 : 一個劍橋遊民的生命啟示課,Life be Simple簡單生活學 : 關於優雅、品味、環保與慢活的美好日常指南,把時間當作朋友 : 沒有人能管理時間 你真正能管理的只有你自己,卡內基溝通與人際關係 : 如何贏取友誼與影響他人,愛.生活與學習
人生哲學,GQ201I
人生哲學,GQ201I
人生哲學,GQ201J,自編講義
人生哲學,GQ201K,《哲學與人生》,《人生哲學：理論與實踐》,《作個成功學習的大學生：動機與學習 自我管理》,《設計你所愛的人生：用設計思考的創 造力，建構一個你想要的未來》
人生哲學,GQ201M,自編投影片
人生哲學,GQ201N
人生哲學,GQ201O
人生哲學,GQ201P,《哲學與人生》,《人生哲學：理論與實踐》,《作個成功學習的大學生：動機與學習 自我管理》,《設計你所愛的人生：用設計思考的創 造力，建構一個你想要的未來》
人生哲學,GQ201Q
人生哲學,GQ201R,自編講義
人生哲學,GQ201S
人生哲學,GQ201T
人生哲學,GQ201U
人生哲學,GQ201V
人生哲學,GQ201W,致嘉蘭書(女生必讀),破局而出,致偉立書(男生必讀),生命教育之理論與實踐,飄浮的蘋果
人生哲學,GQ201X
人生哲學,GQ201Z,致嘉蘭書(女生必讀),破局而出,致偉立書(男生必讀),生命教育之理論與實踐,飄浮的蘋果
台灣政治與民主,GQ392A,台灣政治與民主多媒體互動教學課程講義,正義：一場思辨之旅,戰後臺灣政治史：中華民國臺灣化的歷程,開放國會與公民參與,世界是平的,菁英的反叛 The Revolt of The Elites and the Betrayal of Democracy,拿破崙不是敗在滑鐵盧戰役而是金融戰爭：從「金錢的流動」發現5000年歷史的意外事實
台灣政治與民主,GQ392B,台灣政治與民主多媒體互動教學課程講義,正義：一場思辨之旅,戰後臺灣政治史：中華民國臺灣化的歷程,開放國會與公民參與,世界是平的,菁英的反叛 The Revolt of The Elites and the Betrayal of Democracy,拿破崙不是敗在滑鐵盧戰役而是金融戰爭：從「金錢的流動」發現5000年歷史的意外事實
台灣政治與民主,GQ392C
台灣政治與民主,GQ392D
台灣政治與民主,GQ392E,同學閱讀上課投影講義和資料
法律與現代生活,GQ393A,自編教材
法律與現代生活,GQ393B,法律與生活：案例式,法律與生活
法律與現代生活,GQ393C,法律與生活：案例式,法律與生活
法律與現代生活,GQ393D
法律與現代生活,GQ393E
當代人權議題與挑戰,GQ394A,國際人權的進展
當代人權議題與挑戰,GQ394B,國際人權的進展
當代人權議題與挑戰,GQ394C,自製教材
當代人權議題與挑戰,GQ394D,自製教材
當代人權議題與挑戰,GQ394E
當代人權議題與挑戰,GQ394F
當代人權議題與挑戰,GQ394G,國際人權的進展
生活社會學,GQ395A,社會學與台灣社會
生活社會學,GQ395B,社會學與台灣社會
生活社會學,GQ395C,社會學與臺灣社會 = Sociology and Taiwan
生活社會學,GQ395D,社會學與臺灣社會 = Sociology and Taiwan
全球化大議題,GQ396A,Globalization: A Very Short Introduction.
全球化大議題,GQ396C,《國際關係的政治經濟分析》,《正義: 一場思辨之旅》,《政治的意識形態》
全球化大議題,GQ396D,《國際關係的政治經濟分析》,《正義: 一場思辨之旅》,《政治的意識形態》
全球化大議題,GQ396E,Asia-Pacific Security : US, Australia and Japan and the New Security Triangle
經濟學的世界,GQ397A
經濟學的世界,GQ397B
經濟學的世界,GQ397C
區域文明史,GQ456A
區域文明史,GQ456B
區域文明史,GQ456C
區域文明史,GQ456D
區域文明史,GQ456E,中美關係史話
區域文明史,GQ456F,中美關係史話
區域文明史,GQ456G,中國歷史-先秦卷
區域文明史,GQ456H,中國歷史-先秦卷
區域文明史,GQ456I,甘迺迪政府對中蘇共分裂之認知與反應,美國外交政策內幕,轉向：從尼克森到柯林頓美中關係揭密,交往與促變--柯林頓政府對中共的外交戰略,冷戰後美國的全球戰略和世界地位,美國對華政策之轉折：尼克森時期之決策過程與背景,美國的危機與轉機：從老布希、柯林頓到小布希的外交成績單看超級強權的未來走向,當代美國外交史,冷戰後美國的東亞政策（1989-1997）,遏制戰略︰戰後美國國家安全政策評析,布什的困境︰海內外專家透視美國外交政策走向,美國的中國政策：圍堵、交往、戰略夥伴,斷交後的中美關係,危機潛伏－從平衡到失衡　布希第一任期的兩岸政策,布希新政府之兩岸政策走向,美國外交與危機處理,後冷戰時期美國海外出兵案例研究,布什戰爭內閣史
