課綱,跨部,跨系,已選,停修,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,期程,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,跨就微PBL,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,V,,,2510107,GQ101G,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,李信毅,4-34.,教學312,,,,,,,校牧室,60,82,2,2,1594,國語,,0
◎,,V,,,2510108,GQ101H,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,馬育慧,3-78.,教學601,,,,,,,校牧室,60,61,2,2,609,國語,,0
◎,,V,,,2510109,GQ101I,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,馬育慧,5-56.,教學801,,,,,,,校牧室,60,62,2,2,536,國語,,0
◎,,V,,,2510110,GQ101J,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,曾念粵,4-78.,教學601,,,,,,,校牧室,60,62,2,2,1004,國語,,0
◎,,V,,,2510111,GQ101K,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,鄒仁鴻,1-34.,教學801,,,,,,,校牧室,60,62,2,2,443,國語,,0
◎,,V,,,2510112,GQ101L,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,林顯泉,5-56.,教學601,,,,,,,校牧室,60,60,2,2,500,國語,,0
◎,,V,,,2510113,GQ101M,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,蔡俊謙,3-56.,教學801,,,,,,,校牧室,60,60,2,2,453,國語,,0
◎,,V,,,2510114,GQ101N,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,林顯泉,5-12.,教學601,,,,,,,校牧室,60,60,2,2,433,國語,,0
◎,,V,,,2510115,GQ101O,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,曾念粵,4-CD.,教學601,,,,,,,校牧室,60,60,2,2,1214,國語,,0
◎,,V,,,2510116,GQ101P,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,高天圓,3-56.,教學601,,,,,,,校牧室,60,60,2,2,437,國語,,0
◎,,V,,,2510117,GQ101Q,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,康克,2-78.,教學801,,,,,全英語授課,,校牧室,60,60,2,2,906,英語,,0
◎,,V,,,2510118,GQ101R,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,董俐元,3-EF.,教學601,,,,,,,校牧室,60,60,2,2,543,國語,,0
◎,,V,,,2510119,GQ101S,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,謝品然,1-EF.,教學601,,,,,全英語授課,,校牧室,60,62,2,2,899,英語,,0
◎,,V,,,2510120,GQ101T,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,康克,2-34.,教學801,,,,,全英語授課,,校牧室,60,58,2,2,709,英語,,0
◎,,V,,,2510121,GQ101U,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,潘秋郎,1-34.,教學601,,,,,,,校牧室,60,62,2,2,527,國語,,0
◎,,V,,,2510122,GQ101V,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,林顯泉,5-78.,教學601,,,,,,,校牧室,60,60,2,2,416,國語,,0
◎,,V,,,2510124,GQ101X,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,鄒仁鴻,1-78.,教學801,,,,,,,校牧室,60,60,2,2,393,國語,,0
◎,,V,,,2510125,GQ101Y,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,潘秋郎,1-56.,教學601,,,,,,,校牧室,60,61,2,2,639,國語,,0
◎,,V,,,2510126,GQ101Z,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,潘秋郎,1-78.,教學601,,,,,,,校牧室,60,61,2,2,609,國語,,0
◎,,V,,,2520101,GQ201A,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李家遠,3-78.,教學801,,,,,全英語授課,就:南山就業學程,校牧室,60,56,2,2,882,英語,,0
◎,,V,,,2520102,GQ201B,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,陳麗琴,1-CD.,教學402,,,,,,就:南山就業學程,校牧室,60,73,2,2,1065,國語,,0
◎,,V,,,2520103,GQ201C,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,張孝慧,2-12.,全人108,,,,,,就:南山就業學程,校牧室,60,62,2,2,780,國語,,0
◎,,V,,,2520104,GQ201D,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李信毅,4-78.,教學310,,,,,,就:南山就業學程,校牧室,60,62,2,2,1711,國語,,0
◎,,V,,,2520105,GQ201E,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,康克,4-56.,教學601,,,,,全英語授課,就:南山就業學程,校牧室,60,61,2,2,880,英語,,0
◎,,V,,,2520106,GQ201F,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,趙念慈,3-12.,教學601,,,,,,就:南山就業學程,校牧室,60,62,2,2,747,國語,,0
◎,,V,,,2520107,GQ201G,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,洪政裕,4-34.,教學801,,,,,,"創:PBL課程,就:南山就業學程",校牧室,60,64,2,2,1349,國語,,0
◎,,V,,,2520108,GQ201H,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,黃介文,5-34.,教學801,,,,,,就:南山就業學程,校牧室,60,62,2,2,1183,國語,,0
◎,,V,,,2520109,GQ201I,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,吳瑞璋,4-EF.,教學515,,,,,,就:南山就業學程,校牧室,90,91,2,1,801,國語,,0
◎,,V,,,2520109,GQ201I,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,劉佩琳,4-EF.,教學515,,,,,,就:南山就業學程,校牧室,90,91,2,1,801,國語,,0
◎,,V,,,2520110,GQ201J,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,饒張清音,4-34.,教學601,,,,,,就:南山就業學程,校牧室,60,62,2,2,1098,國語,,0
◎,,V,,,2520111,GQ201K,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,王學晟,2-12.,教學601,,,,,,就:南山就業學程,校牧室,60,61,2,2,492,國語,,0
◎,,V,,,2520113,GQ201M,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,洪政裕,5-34.,科學103,,,,,,"創:PBL課程,就:南山就業學程",校牧室,60,63,2,2,1108,國語,,0
◎,,V,,,2520114,GQ201N,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,劉佩琳,3-EF.,教學502,,,,,,就:南山就業學程,校牧室,60,81,2,2,614,國語,,0
◎,,V,,,2520115,GQ201O,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,趙念慈,1-12.,教學601,,,,,,就:南山就業學程,校牧室,60,63,2,2,565,國語,,0
◎,,V,,,2520116,GQ201P,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,王學晟,2-34.,教學601,,,,,,就:南山就業學程,校牧室,60,59,2,2,579,國語,,0
◎,,V,,,2520117,GQ201Q,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,羅月美,2-CD.,教學612,,,,,,"創:PBL課程,就:南山就業學程",校牧室,60,80,2,2,1083,國語,,0
◎,,V,,,2520118,GQ201R,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,饒張清音,4-12.,教學602,,,,,,就:南山就業學程,校牧室,60,64,2,2,584,國語,,0
◎,,V,,,2520119,GQ201S,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李世堅,2-DE.,教學601,,,,,,就:南山就業學程,校牧室,60,63,2,2,1353,國語,,0
◎,,V,,,2520120,GQ201T,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,羅月美,3-CD.,教學601,,,,,全英語授課,"創:PBL課程,就:南山就業學程",校牧室,60,61,2,2,479,英語,,0
◎,,V,,,2520121,GQ201U,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李世堅,2-FG.,教學601,,,,,,就:南山就業學程,校牧室,60,62,2,2,1118,國語,,0
◎,,V,,,2520122,GQ201V,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,陳至信,5-12.,教學512,,,,,,就:南山就業學程,校牧室,90,91,2,2,513,國語,,0
◎,,V,,,2520123,GQ201W,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李清義,3-56.,懷恩102,,,,,,就:南山就業學程,校牧室,57,64,2,2,1409,國語,,0
◎,,V,,,2520124,GQ201X,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,劉佩琳,1-EF.,教學308,,,,,,就:南山就業學程,校牧室,60,61,2,2,480,國語,,0
◎,,V,,,2520126,GQ201Z,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李清義,3-78.,懷恩102,,,,,,就:南山就業學程,校牧室,60,62,2,2,1353,國語,,0
◎,,,,,2539201,GQ392A,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,魏澤民,1-34.,,,,,,非同步遠距，無面授；法學院得不選修,創:PBL課程,通識中心,125,124,2,2,540,國語,,0
◎,,,,,2539202,GQ392B,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,魏澤民,1-56.,,,,,,非同步遠距，無面授；法學院得不選修,創:PBL課程,通識中心,125,125,2,2,547,國語,,0
◎,,,,,2539203,GQ392C,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,曾志隆,4-56.,懷恩205,,,,,法學院得不選修,,通識中心,60,59,2,2,437,國語,,0
◎,,,,,2539204,GQ392D,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,曾志隆,4-78.,懷恩205,,,,,法學院得不選修,,通識中心,60,60,2,2,422,國語,,0
