課綱,跨部,跨系,已選,停修,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,期程,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,跨就微PBL,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,,V,,3214501,PH145A,PH145,普通物理實驗(二),General Physics Laboratory (II),一般,物理一甲,必修,半,1,張勝雄,2-234.,,,,,,實作,微:物理系微型學程,物理系,60,58,1.5,1.5,10,國語,3200B,0
◎,,,V,,3224301,PH243A,PH151,計算機概論,Introduction to Computer,一般,物理一甲,必修,半,2,吳啟彬,4-12.,教學410,1-C.,科學B06,,,,"跨:大數據科學學程,創:程式設計課程",物理系,60,61,2,2,14,國語,3200B,0
◎,,,V,,3260801,PH608A,ZA608,普通化學(二),General Chemistry(II),一般,物理一甲,必修,半,2,賈緒威,1-34.,教學612,3-7.,教學612,,,,,物理系,60,57,3,3,14,國語,3200B,0
◎,,,,,3260901,PH609A,ZA610,英文(二),English (II),一般,物理一甲,必修,半,1,鄧秀英,5-56.,懷恩201,,,,,,,語言中心,45,42,2,2,4,英語,3200B,0
◎,,,V,,3279101,PH791A,PH791,基礎應用數學(二),Basic Applied Mathematics(II),一般,物理一甲,必修,半,1,徐立義,3-2.,科學409,,,,,微型課程,,物理系,70,69,1,1,16,國語,3200B,0
◎,,,V,,3280101,PH801A,GQ801,語文與修辭,Literacy and Rhetoric,修辭,物理一甲,必修,半,2,陳惠鈴,3-56.,教學815,,,,,,創:PBL課程,通識中心,72,56,2,2,16,國語,3200B,0
◎,,,,,3290101,PH901A,ZA038,普通物理,General Physics,一般,物理一甲,必修,半,3,賴再興,2-DEF.,科學409,,,,,學習關懷專班，名單由學發提供,,物理系,0,18,3,3,3,國語,3200B,0
◎,,,,,3290301,PH903A,PH004,普通物理(二),General Physics (II),一般,物理一甲,必修,半,3,賴再興,1-DEF.,科學409,,,,,學習關懷專班，名單由學發提供,,物理系,0,17,3,3,1,國語,3200B,0
◎,,,V,不得停修,3294501,PH945A,ZA620,體育二,Physical Education (II),體育,物理一甲,必修,半,0,翁明嘉,2-56.,,,,,,物理甲班,,體育室,60,55,0,2,6,國語,3200B,0
,,,,,3299101,PH991A,ZA996,環境服務學習（二）,Environment  Service-Learning（II）,一般,物理一甲,必修,半,0,,5-B.,,,,,,缺席2次未補課即扣考，下學期需加選重修,,學務處,0,29,0,0,4,國語,3200B,0
,,,,,3299201,PH992A,ZA996,環境服務學習（二）,Environment  Service-Learning（II）,一般,物理一甲,必修,半,0,,5-B.,,,,,,缺席2次未補課即扣考，下學期需加選重修,,學務處,0,29,0,0,3,國語,3200B,0
◎,,,V,,3211522,PH115V,ZA628,書報討論(二),Seminar(II),一般,物理博一,必修,全,1,溫文鈺,4-56.,科學211,,,,,,,物理系,10,3,0,0,0,國語,3200B,0
◎,,,,,3252422,PH524V,PH524,積體電路製程技術,Integrated Circuit (IC) Processing,一般,物理博一,選修,半,3,洪政裕,2-567.,科學308,,,,,,,物理系,5,2,0,0,2,國語,3200B,0
◎,,,V,,3211518,PH115R,ZA628,書報討論(二),Seminar(II),一般,物理碩一,必修,全,1,沈志霖,1-67.,科學211,3-34.,科學B03,,,,,物理系,20,9,3,3,0,國語,3200B,0
◎,,V,,,3227318,PH273R,PH273,天文學導論,Introduction to Astronomy,一般,物理碩一,選修,半,3,高崇文,1-7.,科學103,3-56.,科學103,,,,,物理系,10,5,0,0,2,國語,3200B,0
◎,,V,,,3227318,PH273R,PH273,天文學導論,Introduction to Astronomy,一般,物理碩一,選修,半,3,溫文鈺,1-7.,科學103,3-56.,科學103,,,,,物理系,10,5,0,0,2,國語,3200B,0
◎,V,,,,3242918,PH429R,PH429,發光二極體及太陽能電池,Light-Emitting Diodes and Solar Cells,一般,物理碩一,選修,半,3,張勝雄,1-34.,科學811,3-2.,科學811,,,全英語授課；綠能光電跨領域學程,跨:國際菁英,物理系,10,5,3,3,5,英語,3200B,0
◎,,,,,3243418,PH434R,PH434,產業講座課程：科技產業講座,Technology Industry Seminar,一般,物理碩一,選修,半,2,徐立義,5-56.,科學103,,,,,晶彩就業學程；佰鴻就業學程；合晶就業學程,"就:合晶科技就業學程,就:佰鴻就業學程,就:晶彩就業學程",物理系,10,10,0,0,9,國語,3200B,0
◎,,,,,3243518,PH435R,PH435,新興材料導論,Introduction to Modern Advanced Materials,一般,物理碩一,選修,半,3,許毅芝,5-234.,教學502,,,,,全英語授課(學碩合開);綠能光電跨領域學程,跨:國際菁英,物理系,5,4,0,0,7,英語,3200B,0
◎,,,,,3243518,PH435R,PH435,新興材料導論,Introduction to Modern Advanced Materials,一般,物理碩一,選修,半,3,楊仲準,5-234.,教學502,,,,,全英語授課(學碩合開);綠能光電跨領域學程,跨:國際菁英,物理系,5,4,0,0,7,英語,3200B,0
◎,V,V,,,3243718,PH437R,PH437,半導體材料與技術,Semiconductor Materials and Technology,一般,物理碩一,選修,半,1,李文中,2-34.,科學103,,,,,,就:佰鴻就業學程,物理系,10,4,0,0,4,國語,3200B,0
◎,,V,,,3246818,PH468R,PH468,量子人工智慧導論,Introduction to Quantum Artificial Intelligence,一般,物理碩一,選修,半,3,鐘元良,3-DEF.,科學811,,,,,,,物理系,10,2,3,3,2,國語,3200B,0
◎,,,,,3252418,PH524R,PH524,積體電路製程技術,Integrated Circuit (IC) Processing,一般,物理碩一,選修,半,3,洪政裕,2-567.,科學308,,,,,,,物理系,20,13,3,3,8,國語,3200B,0
◎,,V,,,3255018,PH550R,ZA550,粒子物理導論,Introduction to Particle Physics,一般,物理碩一,選修,半,3,溫文鈺,4-234.,科學811,,,,,物理學專精學程,,物理系,10,2,0,0,1,國語,3200B,0
◎,V,V,,,3277618,PH776R,PH776,半導體元件物理導論,Introduction to Physics of Semiconductor Devices,一般,物理碩一,選修,半,3,邱寬城,3-78C.,科學103,,,,,合晶科技就業學程,就:合晶科技就業學程,物理系,10,14,3,3,11,國語,3200B,0
◎,,,V,,3200002,PH000B,GQ000,自然科學與人工智慧導論,Introduction to Natural Science and Artificial Intelligence,科學,物理一乙,必修,半,2,鐘元良,4-12.,教學408,,,,,,,通識中心,65,65,0,2,9,國語,3200B,0
◎,,,V,,3200402,PH004B,PH004,普通物理(二),General Physics (II),一般,物理一乙,必修,半,3,許經夌,1-34.,科學103,4-34.,科學409,,,,"微:物理系微型學程,跨:綠能光電",物理系,70,69,4,4,17,國語,3200B,0
◎,,V,,,3205902,PH059B,ZA612,英語聽講(二),English Listening and Speaking in Lab (II),英聽,物理一乙,必修,半,1,荊行倫,5-34.,全人402,,,,,須繳語言實習費600元,,語言中心,57,57,0,2,7,英語,3200B,0
◎,,V,V,,3206002,PH060B,MA060,微積分(下),Calculus (II),一般,物理一乙,必修,半,3,張麗芬,1-56.,懷恩205,4-7.,懷恩104,,,,微:物理系微型學程,物理系,80,75,3,3,20,國語,3200B,0
◎,,,V,,3214502,PH145B,PH145,普通物理實驗(二),General Physics Laboratory (II),一般,物理一乙,必修,半,1,張勝雄,2-234.,,,,,,實作,微:物理系微型學程,物理系,60,59,1.5,1.5,9,國語,3200B,0
◎,,,,,3221102,PH211B,PH147,物理與生活科技,Physics and Living Technology,一般,物理一乙,選修,半,2,王智祥,3-56.,科學409,,,,,,,物理系,60,28,2,2,31,國語,3200B,0
◎,,,V,,3224302,PH243B,PH151,計算機概論,Introduction to Computer,一般,物理一乙,必修,半,2,吳啟彬,4-56.,教學410,3-C.,科學B06,,,,"跨:大數據科學學程,創:程式設計課程",物理系,60,62,2,2,15,國語,3200B,0
◎,,,,,3227902,PH279B,PH279,物理講座,Seminar on Physics for Undergraduate,一般,物理一乙,選修,半,1,徐芝珊,5-7.,科學B03,,,,,,,物理系,60,41,1,1,33,國語,3200B,0
◎,,,V,,3260802,PH608B,ZA608,普通化學(二),General Chemistry(II),一般,物理一乙,必修,半,2,賈緒威,1-78.,教學612,3-8.,教學612,,,,,物理系,60,66,3,3,23,國語,3200B,0
◎,,,,,3260902,PH609B,ZA610,英文(二),English (II),一般,物理一乙,必修,半,1,沈俞君,5-56.,教學315B,,,,,,,語言中心,45,42,2,2,2,英語,3200B,0
◎,,,V,,3279102,PH791B,PH791,基礎應用數學(二),Basic Applied Mathematics(II),一般,物理一乙,必修,半,1,徐立義,3-1.,科學409,,,,,微型課程,,物理系,70,62,1,1,11,國語,3200B,0
◎,,,V,不得停修,3280102,PH801B,GQ801,語文與修辭,Literacy and Rhetoric,修辭,物理一乙,必修,半,2,楊宜佩,2-56.,教學812,,,,,,,通識中心,65,60,2,2,7,國語,3200B,0
◎,,,V,不得停修,3294502,PH945B,ZA620,體育二,Physical Education (II),體育,物理一乙,必修,半,0,簡敏惠,2-78.,,,,,,物理乙班,,體育室,60,59,0,2,7,國語,3200B,0
,,,,,3299102,PH991B,ZA996,環境服務學習（二）,Environment  Service-Learning（II）,一般,物理一乙,必修,半,0,,3-B.,,,,,,缺席2次未補課即扣考，下學期需加選重修,,學務處,0,27,0,0,2,國語,3200B,0
,,,,,3299202,PH992B,ZA996,環境服務學習（二）,Environment  Service-Learning（II）,一般,物理一乙,必修,半,0,,3-B.,,,,,,缺席2次未補課即扣考，下學期需加選重修,,學務處,0,30,0,0,1,國語,3200B,0
◎,,,,,3200304,PH003D,ZA702,實用英文（二）,Practical English (II),一般,物理二甲,必修,半,1,歐怡君,1-12.,教學805,,,,,,,語言中心,45,48,2,2,4,英語,3200B,0
◎,,,,,3227604,PH276D,PH276,量子物理導論,Introduction to Quantum Physics,一般,物理二甲,選修,半,3,蔡俊謙,1-34.,土木501,4-7.,科學409,,,,,物理系,60,27,3,3,40,國語,3200B,0
◎,,,,,3232204,PH322D,MA322,數據科學導論,Introduction to Data Science,一般,物理二甲,選修,半,3,蔣益庭,1-DEF.,科學504,,,,,大數據跨領域學分學程基礎先修課程,跨:大數據科學學程,物理系,5,5,0,0,40,國語,3200B,0
◎,,,,,3237504,PH375D,PH375,相對論,Relativity,一般,物理二甲,選修,半,3,蔡俊謙,3-7.,科學409,4-8C.,科學409,,,物理學專精學程,跨:物理專精,物理系,70,66,3,3,88,國語,3200B,0
◎,,,V,,3238804,PH388D,EE388,電磁學(二),Electromagnetism (II),一般,物理二甲,必修,半,3,黃定維,2-56.,科學409,5-34.,教學612,,,晶彩科技就業學程,就:晶彩就業學程,物理系,70,63,4,4,16,國語,3200B,0
◎,,,V,,3244004,PH440D,SS440,力學(二),Mechanics (II),一般,物理二甲,必修,半,3,曾祥器,1-7.,科學409,4-56.,科學409,,,,,物理系,70,62,3,3,14,國語,3200B,0
◎,,,,,3252204,PH522D,ZA522,計算物理,Computational Physics,一般,物理二甲,選修,半,3,邱國斌,1-8.,科學103,3-12.,科學B03,,,物理學專精學程,跨:物理專精,物理系,60,47,3,3,45,國語,3200B,0
◎,,,V,,3279204,PH792D,PH792,應用數學(二),Applied Mathematics(Ⅱ),一般,物理二甲,必修,半,3,楊桂周,2-34.,教學612,5-56.,科學409,,,,"就:南山就業學程,就:富邦人壽就業學程",物理系,72,75,4,4,34,國語,3200B,0
◎,,,V,,3211523,PH115W,ZA115,書報討論,Seminar,一般,物理博二,必修,全,1,溫文鈺,4-56.,科學211,,,,,,,物理系,10,1,0,0,0,國語,3200B,0
,,,V,,3213823,PH138W,ZA138,論文,Thesis,一般,物理博二,必修,半,6,,,,,,,,,,物理系,20,13,0,0,0,國語,3200B,0
◎,,,V,,3211520,PH115T,ZA115,書報討論,Seminar,一般,物理碩二,必修,全,1,溫文鈺,4-56.,科學211,,,,,,,物理系,20,6,3,3,0,國語,3200B,0
,,,V,,3213820,PH138T,ZA138,論文,Thesis,一般,物理碩二,必修,半,3,,,,,,,,,,物理系,20,11,0,0,1,國語,3200B,0
◎,V,V,,,3241020,PH410T,ZA410,電子材料科學,Electronic Material Science,一般,物理碩二,選修,半,3,邱鏡學,5-EFG.,科學409,,,,,,,物理系,20,8,3,3,2,國語,3200B,0
◎,,,,,3200305,PH003E,ZA702,實用英文（二）,Practical English (II),一般,物理二乙,必修,半,1,周孟穎,1-12.,教學810,,,,,,,語言中心,45,46,2,2,1,英語,3200B,0
◎,,,V,,3226005,PH260E,ZA260,電子學實驗,Electronics Laboratory,一般,物理二乙,必修,半,1,吳啟彬,3-567.,,,,,,佰鴻工業就業學程,就:佰鴻就業學程,物理系,70,50,1.5,1.5,9,國語,3200B,0
◎,,,,,3228005,PH280E,PH280,光電導論,Introduction to Electronic-Optics,一般,物理二乙,選修,半,3,邱國斌,3-8.,科學409,4-34.,懷恩206,,,佰鴻工業就業學程;物理學專精學程,"就:佰鴻就業學程,跨:物理專精",物理系,60,42,3,3,48,國語,3200B,0
◎,,,,,3230005,PH300E,ZA300,材料科學導論,Introduction to Material Science,一般,物理二乙,選修,半,3,王智祥,2-78.,科學409,5-7.,懷恩102,,,佰鴻就業學程;物理專精學程;綠能光電跨領域,"就:佰鴻就業學程,跨:物理專精,跨:綠能光電",物理系,60,47,3,3,54,國語,3200B,0
◎,,,V,,3238805,PH388E,EE388,電磁學(二),Electromagnetism (II),一般,物理二乙,必修,半,3,黃定維,2-34.,科學409,5-56.,教學612,,,晶彩就業學程,就:晶彩就業學程,物理系,70,62,4,4,15,國語,3200B,0
◎,,,V,,3239705,PH397E,PH397,電子學,Electronic,一般,物理二乙,必修,半,3,吳啟彬,1-56.,教學612,4-7.,教學612,,,晶彩就業學程;佰鴻工業就業學程,"就:佰鴻就業學程,就:晶彩就業學程",物理系,80,63,3,3,20,國語,3200B,0
◎,,,V,,3279205,PH792E,PH792,應用數學(二),Applied Mathematics(Ⅱ),一般,物理二乙,必修,半,3,楊桂周,2-56.,教學612,5-34.,科學409,,,,"就:南山就業學程,就:富邦人壽就業學程",物理系,72,74,4,4,29,國語,3200B,0
◎,,,,,3230707,PH307G,BT307,認知神經科學,Cognitive Neuroscience,一般,物理三甲,選修,半,3,鄭谷苑,3-567.,科學708,,,,,理學院合開課程,跨:奈米科技,物理系,15,15,0,0,44,國語,3200B,0
◎,,,,,3230707,PH307G,BT307,認知神經科學,Cognitive Neuroscience,一般,物理三甲,選修,半,3,金亭佑,3-567.,科學708,,,,,理學院合開課程,跨:奈米科技,物理系,15,15,0,0,44,國語,3200B,0
◎,,,V,,3238407,PH384G,PH384,統計物理,Statistical Physics,一般,物理三甲,必修,半,3,楊仲準,1-34.,科學B03,4-34.,科學103,,,,"跨:大數據科學學程,就:南山就業學程,就:富邦人壽就業學程",物理系,70,46,4,4,9,國語,3200B,0
◎,,,,,3243107,PH431G,PH431,物理專題(一),Research Topics in Physics（I）,一般,物理三甲,選修,半,2,邱寬城,,,,,,,總結性課程6擇1;物理學專精學程,"創:PBL課程,就:合晶科技就業學程,就:佰鴻就業學程,跨:物理專精,就:晶彩就業學程",物理系,0,47,2,2,14,國語,3200B,0
◎,,,,,3251907,PH519G,ZA519,高等物理數學(二),Advanced Mathematical Physics (2),一般,物理三甲,選修,半,3,高崇文,2-567.,科學811,,,,,物理學專精學程,"跨:物理專精,就:南山就業學程,就:富邦人壽就業學程",物理系,60,33,3,2,33,國語,3200B,0
◎,,,,,3251907,PH519G,ZA519,高等物理數學(二),Advanced Mathematical Physics (2),一般,物理三甲,選修,半,3,溫文鈺,2-567.,科學811,,,,,物理學專精學程,"跨:物理專精,就:南山就業學程,就:富邦人壽就業學程",物理系,60,33,3,1,33,國語,3200B,0
◎,,,,,3254307,PH543G,ZA543,理論物理(一),Theoretical Physics (1),一般,物理三甲,選修,半,2,高崇文,2-12.,科學B03,,,,,總結性課程6擇1;物理學專精學程,跨:物理專精,物理系,70,49,2,2,36,國語,3200B,0
◎,,V,,,3270407,PH704G,ZA718,英語檢定技巧,Skills for English Language Testing,一般,物理三甲,選修,半,0,陳思諭,2-CD.,教學317,,,,,限大三及大四未通過正式英檢之非應外系學生,跨:國際菁英,語言中心,50,48,0,2,87,英語,3200B,0
◎,,,V,,3278907,PH789G,PH789,量子物理(二),Quantum Physics(II),一般,物理三甲,必修,半,4,黃偉能,1-56.,科學409,4-56.,教學612,,,,,物理系,70,51,4,4,8,國語,3200B,0
,,V,,,3289507,PH895G,PH895,物理實驗手作坊-波動與電磁,Physics Experiment Workshop-Waves and Electromagnetism,一般,物理三甲,選修,半,1,,,,,,,,"1. 此課程為自由學分課程，不列入系選修課程。	2. 磨課師微學分課程，選課後請至openedu平台註冊修課。3. 課程簡介、平台網址、成績檢核方式請至<a href=""https://reurl.cc/yeKZ92"">https://reurl.cc/yeKZ92</a>網址查詢。",,物理系,60,20,0,0,20,國語,3200B,0
,,V,,,3289607,PH896G,PH896,量子計算的物理基礎,Physical Basics of Quantum Computing,一般,物理三甲,選修,半,1,,,,,,,,"1. 此課程為自由學分課程,不列入系選修課程。	2. 磨課師微學分課程，選課後請至Coursera平台註冊修課。3. 課程簡介、平台網址、成績檢核方式請至<a href=""https://reurl.cc/yeKZ92"">https://reurl.cc/yeKZ92</a>網址查詢。",跨:國際菁英,物理系,60,5,0,0,39,英語,3200B,0
◎,,,V,,3236008,PH360H,PH360,光學實驗,Optics Laboratory,一般,物理三乙,必修,半,1,徐芝珊,4-567.,,,,,,佰鴻工業就業學程,就:佰鴻就業學程,物理系,60,52,1.5,1.5,7,國語,3200B,0
◎,,V,,,3240208,PH402H,PH402,傅氏光學導論,Introduction to Fourier Optics,一般,物理三乙,選修,半,3,許怡仁,2-34.,科學B03,5-6.,科學811,,,物理學專精學程,跨:物理專精,物理系,60,17,3,3,23,國語,3200B,0
◎,,,,,3245908,PH459H,PH459,固態物理導論,Introduction to Solid State Physics,一般,物理三乙,選修,半,3,楊仲準,1-78.,科學B03,4-2.,科學103,,,物理專精學程;合晶就業學程;綠能光電跨領域,"就:合晶科技就業學程,跨:物理專精,跨:綠能光電",物理系,60,60,3,3,63,國語,3200B,0
◎,,,,,3249408,PH494H,EL494,光電元件,Optoelectronic Devices,一般,物理三乙,選修,半,3,院繼祖,2-567.,懷恩206,,,,,,創:PBL課程,物理系,60,58,3,3,65,國語,3200B,0
◎,,,,,3250908,PH509H,PH509,光電與材料專題（一）,Research of Topics in Photonics and Materials Science（I）,一般,物理三乙,選修,半,2,沈志霖,,,,,,,總結性課程6擇1;佰鴻就業學程;物理專精學程,"創:PBL課程,就:合晶科技就業學程,就:佰鴻就業學程,跨:物理專精,就:晶彩就業學程",物理系,0,44,2,2,23,國語,3200B,0
◎,,,V,,3278908,PH789H,PH789,量子物理(二),Quantum Physics(II),一般,物理三乙,必修,半,4,黃偉能,1-34.,科學409,4-34.,教學612,,,,,物理系,70,69,4,4,20,國語,3200B,0
◎,,,,,3227312,PH273L,PH273,天文學導論,Introduction to Astronomy,一般,物理四甲,選修,半,3,溫文鈺,1-7.,科學103,3-56.,科學103,,,,,物理系,60,34,3,1,40,國語,3200B,0
◎,,,,,3227312,PH273L,PH273,天文學導論,Introduction to Astronomy,一般,物理四甲,選修,半,3,高崇文,1-7.,科學103,3-56.,科學103,,,,,物理系,60,34,3,2,40,國語,3200B,0
◎,,V,,,3246812,PH468L,PH468,量子人工智慧導論,Introduction to Quantum Artificial Intelligence,一般,物理四甲,選修,半,3,鐘元良,3-DEF.,科學811,,,,,,,物理系,60,21,0,0,7,國語,3200B,0
◎,,V,,,3255012,PH550L,ZA550,粒子物理導論,Introduction to Particle Physics,一般,物理四甲,選修,半,3,溫文鈺,4-234.,科學811,,,,,物理學專精學程,跨:物理專精,物理系,60,19,3,3,22,國語,3200B,0
◎,,,,,3242913,PH429M,PH429,發光二極體及太陽能電池,Light-Emitting Diodes and Solar Cells,一般,物理四乙,選修,半,3,張勝雄,1-34.,科學811,3-2.,科學811,,,全英語授課;綠能光電跨領域學程,"跨:國際菁英,跨:綠能光電",物理系,60,27,0,0,35,英語,3200B,0
◎,,,,,3243413,PH434M,PH434,產業講座課程：科技產業講座,Technology Industry Seminar,一般,物理四乙,選修,半,2,徐立義,5-56.,科學103,,,,,晶彩就業學程;佰鴻就業學程;合晶就業學程,"就:合晶科技就業學程,就:佰鴻就業學程,就:晶彩就業學程",物理系,60,39,2,2,38,國語,3200B,0
◎,,,,,3243513,PH435M,PH435,新興材料導論,Introduction to Modern Advanced Materials,一般,物理四乙,選修,半,3,許毅芝,5-234.,教學502,,,,,全英語授課(學碩合開);綠能光電跨領域學程,"跨:奈米科技,跨:國際菁英,跨:綠能光電",物理系,15,25,3,3,54,英語,3200B,0
◎,,,,,3243513,PH435M,PH435,新興材料導論,Introduction to Modern Advanced Materials,一般,物理四乙,選修,半,3,楊仲準,5-234.,教學502,,,,,全英語授課(學碩合開);綠能光電跨領域學程,"跨:奈米科技,跨:國際菁英,跨:綠能光電",物理系,15,25,3,0,54,英語,3200B,0
◎,,V,,,3243713,PH437M,PH437,半導體材料與技術,Semiconductor Materials and Technology,一般,物理四乙,選修,半,1,李文中,2-34.,科學103,,,,,晶彩就業學程;佰鴻就業學程;合晶就業學程;微型課程,"就:合晶科技就業學程,就:佰鴻就業學程,就:晶彩就業學程",物理系,60,44,1,1,42,國語,3200B,0
◎,,V,,,3244813,PH448M,PH448,雷射通論,Introduction to Laser Physics,一般,物理四乙,選修,半,3,徐芝珊,1-567.,科學B06,,,,,物理學專精學程,跨:物理專精,物理系,60,22,3,3,34,國語,3200B,0
◎,,,,,3330522,CY305V,ZA305,有機金屬化學,Organometallic Chemistry,一般,化學博一,選修,半,3,葉名倉,4-678.,理學214,,,,,學碩博合開,,化學系,5,1,0,0,0,國語,3300B,0
◎,,,,,3337622,CY376V,CY376,有機光譜分析,Organic Spectroscopy,一般,化學博一,選修,半,3,葉美鈺,2-7.,化學104,5-56.,理學212,,,學碩博合開,,化學系,5,2,0,0,2,國語,3300B,0
◎,,,,,3351622,CY516V,CY516,計算化學,Computational Chemistry,一般,化學博一,選修,半,3,陳欣聰,5-234.,科學B06,,,,,學碩博合開,,化學系,5,2,0,0,1,國語,3300B,0
◎,,,,,3362822,CY628V,ZA628,書報討論(二),Seminar(II),一般,化學博一,必修,半,1,鄭吉豐,3-56.,理學214,,,,,分領域上課;系辦另行公告分組名單,創:PBL課程,化學系,10,6,1,1,1,國語,3300B,0
◎,,,,,3363122,CY631V,CY631,專題演講（二）,Lecture on Special Topics(二),一般,化學博一,必修,半,0,葉瑞銘,3-78.,理講堂,,,,,,,化學系,15,5,0,0,0,國語,3300B,0
◎,,,,,3363122,CY631V,CY631,專題演講（二）,Lecture on Special Topics(二),一般,化學博一,必修,半,0,王宏文,3-78.,理講堂,,,,,,,化學系,15,5,0,0,0,國語,3300B,0
◎,,,,,3363622,CY636V,CY636,化學技術 (二),Chemical Technology (II),一般,化學博一,必修,半,3,賈緒威,4-DEF.,化學104,,,,,,,化學系,20,6,0,0,1,國語,3300B,0
◎,,,,,3363622,CY636V,CY636,化學技術 (二),Chemical Technology (II),一般,化學博一,必修,半,3,周芳如,4-DEF.,化學104,,,,,,,化學系,20,6,0,0,1,國語,3300B,0
◎,,,,,3363622,CY636V,CY636,化學技術 (二),Chemical Technology (II),一般,化學博一,必修,半,3,王宏文,4-DEF.,化學104,,,,,,,化學系,20,6,0,0,1,國語,3300B,0
◎,,,,,3364322,CY643V,CY643,高等分析化學,Advanced Analytical Chemistry,一般,化學博一,選修,半,3,葉華光,4-234.,理學214,,,,,碩博合開,,化學系,5,1,0,0,0,國語,3300B,0
◎,,,,,3320618,CY206R,CY206,生物化學(一),Biochemistry (1),一般,化學碩一,選修,半,3,蘇正元,5-567.,教學608,,,,,學碩博合開,,化學系,15,2,0,0,0,國語,3300B,0
◎,,,,,3320618,CY206R,CY206,生物化學(一),Biochemistry (1),一般,化學碩一,選修,半,3,吳亮宜,5-567.,教學608,,,,,學碩博合開,,化學系,15,2,0,0,0,國語,3300B,0
◎,,,,,3320618,CY206R,CY206,生物化學(一),Biochemistry (1),一般,化學碩一,選修,半,3,金亭佑,5-567.,教學608,,,,,學碩博合開,,化學系,15,2,0,0,0,國語,3300B,0
◎,,,,,3330518,CY305R,ZA305,有機金屬化學,Organometallic Chemistry,一般,化學碩一,選修,半,3,葉名倉,4-678.,理學214,,,,,學碩博合開,,化學系,15,3,0,0,3,國語,3300B,0
◎,,,,,3337618,CY376R,CY376,有機光譜分析,Organic Spectroscopy,一般,化學碩一,選修,半,3,葉美鈺,2-7.,化學104,5-56.,理學212,,,學碩博合開,,化學系,15,13,0,0,10,國語,3300B,0
◎,,,,,3343518,CY435R,PH435,新興材料導論,Introduction to Modern Advanced Materials,一般,化學碩一,選修,半,3,許毅芝,5-234.,教學502,,,,,英語授課;學碩合開;奈米科技跨領域學程,跨:國際菁英,化學系,5,1,0,0,1,英語,3300B,0
◎,,,,,3343518,CY435R,PH435,新興材料導論,Introduction to Modern Advanced Materials,一般,化學碩一,選修,半,3,楊仲準,5-234.,教學502,,,,,英語授課;學碩合開;奈米科技跨領域學程,跨:國際菁英,化學系,5,1,0,0,1,英語,3300B,0
◎,,,,,3346818,CY468R,CY468,生化感測技術概論,Introduction to Biosensing Technology,一般,化學碩一,選修,半,3,李承宇,2-78C.,理講堂,,,,,學碩博合開,,化學系,15,3,0,0,2,國語,3300B,0
◎,,,,,3349918,CY499R,CY499,藥物化學,Medicinal Chemistry,一般,化學碩一,選修,半,2,陳惠亭,4-78.,化學104,,,,,學碩博合開,,化學系,15,2,0,0,2,國語,3300B,0
◎,,,,,3349918,CY499R,CY499,藥物化學,Medicinal Chemistry,一般,化學碩一,選修,半,2,簡敦誠,4-78.,化學104,,,,,學碩博合開,,化學系,15,2,0,0,2,國語,3300B,0
◎,,,,,3351618,CY516R,CY516,計算化學,Computational Chemistry,一般,化學碩一,選修,半,3,陳欣聰,5-234.,科學B06,,,,,學碩博合開,,化學系,15,22,0,0,12,國語,3300B,0
◎,,,,,3362818,CY628R,ZA628,書報討論(二),Seminar(II),一般,化學碩一,必修,半,1,葉華光,3-56.,理學212,,,,,分領域上課;系辦另行公告分組名單,創:PBL課程,化學系,36,29,1,1,17,國語,3300B,0
◎,,,,,3363118,CY631R,CY631,專題演講（二）,Lecture on Special Topics(二),一般,化學碩一,必修,半,0,葉瑞銘,3-78.,理講堂,,,,,,,化學系,40,28,2,1,14,國語,3300B,0
◎,,,,,3363118,CY631R,CY631,專題演講（二）,Lecture on Special Topics(二),一般,化學碩一,必修,半,0,王宏文,3-78.,理講堂,,,,,,,化學系,40,28,2,1,14,國語,3300B,0
◎,,,,,3363618,CY636R,CY636,化學技術 (二),Chemical Technology (II),一般,化學碩一,必修,半,3,賈緒威,4-DEF.,化學104,,,,,,,化學系,40,29,3,1,15,國語,3300B,0
◎,,,,,3363618,CY636R,CY636,化學技術 (二),Chemical Technology (II),一般,化學碩一,必修,半,3,周芳如,4-DEF.,化學104,,,,,,,化學系,40,29,3,1,15,國語,3300B,0
◎,,,,,3363618,CY636R,CY636,化學技術 (二),Chemical Technology (II),一般,化學碩一,必修,半,3,王宏文,4-DEF.,化學104,,,,,,,化學系,40,29,3,1,15,國語,3300B,0
◎,,,,,3364318,CY643R,CY643,高等分析化學,Advanced Analytical Chemistry,一般,化學碩一,必修,半,3,葉華光,4-234.,理學214,,,,,碩博合開,,化學系,20,18,3,3,16,國語,3300B,0
◎,,,V,,3362844,CY628r,ZA628,書報討論(二),Seminar(II),一般,化學碩專一,必修,半,1,江彰吉,6-3.,理學214,,,,,,,化學系,10,8,1,1,0,國語,3300B,0
◎,,,V,,3363544,CY635r,CY635,化學技術(一),Chemical Technology (I),一般,化學碩專一,必修,半,3,葉華光,1-DEF.,理學212,,,,,,,化學系,10,6,3,1,0,國語,3300B,0
